gene_symbol	gene_id	Gene.Name	Case.PTV	Ctrl.PTV	Case.mis3	Ctrl.mis3	Case.mis2	Ctrl.mis2	P.ca.co..Class.1.	P.ca.co..Class.2.	P.ca.co..comb.	De.novo.PTV	De.novo.mis3	De.novo.mis2	P.de.novo	P.meta	Q.meta	OR..PTV.	OR..Class.I.	OR..Class.II.	Case.syn	Ctrl.syn	P.ca.co..syn.	P.meta..no.gnomAD	Case.Ctrl.PTV..no.gnomAD	Case.Ctrl.mis3..no.gnomAD	Case.Ctrl.mis2..no.gnomAD	P.ca.co..Class.I...no.gnomAD	P.ca.co..Class.II...no.gnomAD	P.ca.co..comb...no.gnomAD
CCDC73	ENSG00000186714	Coiled-coil domain containing 73	16	62	0	0	0	0	0.959	NA	0.959	NA	NA	NA	NA	0.959	1	1.04 (0.558<96>1.82)	1.04 (0.558<96>1.82)		37	117	0.202	0.758	16/26	0/0	0/0	0.758	NA	0.758
CCDC74A	ENSG00000163040	Coiled-coil domain containing 74A	7	26	0	2	2	29	0.911	0.0971	0.767	NA	NA	NA	NA	0.767	1	1.08 (0.396<96>2.56)	1 (0.37<96>2.35)	0.277 (0.032<96>1.09)	12	57	0.759	0.752	7/11	0/1	2/10	0.752	0.398	0.752
CCDC74B	ENSG00000152076	Coiled-coil domain containing 74B	9	27	1	13	14	48	0.637	0.657	0.571	NA	NA	NA	NA	0.571	1	1.34 (0.554<96>2.93)	1 (0.447<96>2.04)	1.17 (0.596<96>2.16)	21	75	0.588	0.894	9/16	1/7	14/26	0.894	0.773	0.894
CCDC77	ENSG00000120647	Coiled-coil domain containing 77	7	43	0	0	0	0	0.155	NA	0.155	NA	NA	NA	NA	0.155	1	0.653 (0.248<96>1.46)	0.653 (0.248<96>1.46)		17	68	1	0.489	7/16	0/0	0/0	0.489	NA	0.489
CCDC78	ENSG00000162004	Coiled-coil domain containing 78	3	23	0	0	0	0	0.576	NA	0.576	NA	NA	NA	NA	0.576	1	0.523 (0.101<96>1.73)	0.523 (0.101<96>1.73)		23	57	0.0563	0.474	3/12	0/0	0/0	0.474	NA	0.474
CCDC79	ENSG00000249961	Coiled-coil domain containing 79	3	4	0	0	0	0	0.467	NA	0.467	NA	NA	NA	NA	0.467	1	3.01 (0.441<96>17.8)	3.01 (0.441<96>17.8)		4	4	0.7	0.691	3/4	0/0	0/0	0.691	NA	0.691
CCDC8	ENSG00000169515	Coiled-coil domain containing 8	5	32	0	0	0	0	0.389	NA	0.389	NA	NA	NA	NA	0.389	1	0.627 (0.191<96>1.62)	0.627 (0.191<96>1.62)		30	121	1	0.802	5/13	0/0	0/0	0.802	NA	0.802
CCDC80	ENSG00000091986	Coiled-coil domain containing 80	9	35	0	0	0	0	0.928	NA	0.928	NA	NA	NA	NA	0.928	1	1.03 (0.436<96>2.19)	1.03 (0.436<96>2.19)		47	213	0.471	0.467	9/12	0/0	0/0	0.467	NA	0.467
CCDC81	ENSG00000149201	Coiled-coil domain containing 81	17	50	0	0	0	0	0.362	NA	0.362	NA	NA	NA	NA	0.362	1	1.36 (0.738<96>2.41)	1.36 (0.738<96>2.41)		24	83	0.543	0.25	17/21	0/0	0/0	0.25	NA	0.25
CCDC82	ENSG00000149231	Coiled-coil domain containing 82	10	28	0	0	0	0	0.392	NA	0.392	NA	NA	NA	NA	0.392	1	1.43 (0.621<96>3.04)	1.43 (0.621<96>3.04)		13	82	0.136	0.574	10/16	0/0	0/0	0.574	NA	0.574
CCDC83	ENSG00000150676	Coiled-coil domain containing 83	7	25	0	0	0	0	0.471	NA	0.471	NA	NA	NA	NA	0.471	1	1.12 (0.41<96>2.67)	1.12 (0.41<96>2.67)		14	63	0.802	0.598	7/13	0/0	0/0	0.598	NA	0.598
CCDC84	ENSG00000186166	Coiled-coil domain containing 84	6	28	0	0	0	0	0.898	NA	0.898	NA	NA	NA	NA	0.898	1	0.86 (0.291<96>2.12)	0.86 (0.291<96>2.12)		19	40	0.0386	0.798	6/11	0/0	0/0	0.798	NA	0.798
CCDC85A	ENSG00000055813	Coiled-coil domain containing 85A	5	8	0	0	0	0	0.237	NA	0.237	NA	NA	NA	NA	0.237	1	2.51 (0.646<96>8.7)	2.51 (0.646<96>8.7)		27	126	0.572	0.207	5/3	0/0	0/0	0.207	NA	0.207
CCDC85B	ENSG00000175602	Coiled-coil domain containing 85B	NA	NA	NA	NA	3	4	NA	0.471	NA	NA	NA	NA	NA	NA	NA	0 (0<96>Inf)		3.01 (0.441<96>17.8)	1	4	1	NA	0/0	0/0	3/4	NA	0.694	NA
CCDC86	ENSG00000110104	Coiled-coil domain containing 86	8	13	0	0	0	0	0.0833	NA	0.0833	NA	NA	NA	NA	0.0833	1	2.47 (0.887<96>6.43)	2.47 (0.887<96>6.43)		19	81	0.894	0.119	8/6	0/0	0/0	0.119	NA	0.119
CCDC87	ENSG00000182791	Coiled-coil domain containing 87	6	54	0	0	0	0	0.0431	NA	0.0431	NA	NA	NA	NA	0.0431	0.952	0.446 (0.157<96>1.04)	0.446 (0.157<96>1.04)		47	172	0.871	0.181	6/24	0/0	0/0	0.181	NA	0.181
CCDC88A	ENSG00000115355	Coiled-coil domain containing 88A	4	6	0	1	6	12	0.315	0.111	0.173	NA	NA	NA	NA	0.173	1	2.68 (0.555<96>11.3)	2.29 (0.492<96>9.02)	2.01 (0.618<96>5.78)	64	259	1	0.472	4/5	0/0	6/7	0.591	0.419	0.472
CCDC88B	ENSG00000168071	Coiled-coil domain containing 88B	11	31	0	0	0	0	0.514	NA	0.514	NA	NA	NA	NA	0.514	1	1.42 (0.646<96>2.91)	1.42 (0.646<96>2.91)		47	161	0.395	0.585	11/17	0/0	0/0	0.585	NA	0.585
CCDC88C	ENSG00000015133	Coiled-coil domain containing 88C	13	35	0	0	0	0	0.379	NA	0.379	NA	NA	NA	NA	0.379	1	1.49 (0.724<96>2.89)	1.49 (0.724<96>2.89)		82	352	0.646	0.238	13/16	0/0	0/0	0.238	NA	0.238
CCDC89	ENSG00000179071	Coiled-coil domain containing 89	5	20	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	1 (0.294<96>2.76)	1 (0.294<96>2.76)		29	69	0.128	0.405	5/6	0/0	0/0	0.405	NA	0.405
CCDC9	ENSG00000105321	Coiled-coil domain containing 9	10	16	0	0	0	0	0.0725	NA	0.0725	NA	NA	NA	NA	0.0725	1	2.51 (1.02<96>5.88)	2.51 (1.02<96>5.88)		15	68	0.788	0.127	10/12	0/0	0/0	0.127	NA	0.127
CCDC90B	ENSG00000137500	Coiled-coil domain containing 90B	4	18	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.892 (0.22<96>2.71)	0.892 (0.22<96>2.71)		12	36	0.44	1	4/8	0/0	0/0	1	NA	1
CCDC91	ENSG00000123106	Coiled-coil domain containing 91	3	16	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.753 (0.141<96>2.63)	0.753 (0.141<96>2.63)		21	65	0.441	0.79	3/4	0/0	0/0	0.79	NA	0.79
CCDC92	ENSG00000119242	Coiled-coil domain containing 92	1	10	0	0	0	0	0.748	NA	0.748	NA	NA	NA	NA	0.748	1	0.401 (0.00925<96>2.82)	0.401 (0.00925<96>2.82)		18	95	0.401	0.459	1/7	0/0	0/0	0.459	NA	0.459
CCDC93	ENSG00000125633	Coiled-coil domain containing 93	2	24	0	0	0	0	0.123	NA	0.123	NA	NA	NA	NA	0.123	1	0.334 (0.0383<96>1.35)	0.334 (0.0383<96>1.35)		28	96	0.47	0.233	2/11	0/0	0/0	0.233	NA	0.233
CCDC94	ENSG00000105248	Coiled-coil domain containing 94	0	8	0	0	8	19	0.376	0.458	0.376	NA	NA	NA	NA	0.376	1	0 (0<96>2.35)	0 (0<96>2.35)	1.69 (0.64<96>4.04)	22	61	0.105	0.342	0/4	0/0	8/8	0.342	0.361	0.342
CCDC96	ENSG00000173013	Coiled-coil domain containing 96	7	29	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.969 (0.358<96>2.26)	0.969 (0.358<96>2.26)		35	80	0.0153	0.483	7/9	0/0	0/0	0.483	NA	0.483
CCDC97	ENSG00000142039	Coiled-coil domain containing 97	6	22	0	0	0	0	0.799	NA	0.799	NA	NA	NA	NA	0.799	1	1.09 (0.363<96>2.78)	1.09 (0.363<96>2.78)		15	58	0.881	0.119	6/4	0/0	0/0	0.119	NA	0.119
CCER1	ENSG00000197651	Coiled-coil glutamate-rich protein 1	5	28	0	0	0	0	0.654	NA	0.654	NA	NA	NA	NA	0.654	1	0.717 (0.216<96>1.88)	0.717 (0.216<96>1.88)		25	95	0.809	1	5/12	0/0	0/0	1	NA	1
CCER2	ENSG00000262484	Coiled-coil glutamate-rich protein 2	0	2	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>21.4)	0 (0<96>21.4)		1	3	0.937	1	0/2	0/0	0/0	1	NA	1
CCHCR1	ENSG00000204536	Coiled-coil alpha-helical rod protein 1	17	62	0	0	0	0	0.901	NA	0.901	NA	NA	NA	NA	0.901	1	1.1 (0.603<96>1.91)	1.1 (0.603<96>1.91)		38	146	0.803	0.951	17/33	0/0	0/0	0.951	NA	0.951
CCIN	ENSG00000185972	Calicin	5	22	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.912 (0.27<96>2.47)	0.912 (0.27<96>2.47)		28	122	0.748	0.795	5/13	0/0	0/0	0.795	NA	0.795
CCK	ENSG00000187094	Cholecystokinin	3	11	0	0	5	10	0.874	0.145	0.61	NA	NA	NA	NA	0.61	1	1.09 (0.196<96>4.14)	1.09 (0.196<96>4.14)	2.01 (0.538<96>6.45)	11	38	0.571	0.594	3/5	0/0	5/3	0.884	0.109	0.594
CCKAR	ENSG00000163394	Cholecystokinin A receptor	7	10	0	0	0	0	0.0583	NA	0.0583	NA	NA	NA	NA	0.0583	1	2.81 (0.908<96>8.18)	2.81 (0.908<96>8.18)		20	117	0.119	0.0642	7/4	0/0	0/0	0.0642	NA	0.0642
CCKBR	ENSG00000110148	Cholecystokinin B receptor	4	19	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.845 (0.209<96>2.54)	0.845 (0.209<96>2.54)		27	105	0.908	0.751	4/6	0/0	0/0	0.751	NA	0.751
CCL1	ENSG00000108702	Chemokine (C-C motif) ligand 1	1	7	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.573 (0.0127<96>4.46)	0.573 (0.0127<96>4.46)		6	24	1	0.416	1/1	0/0	0/0	0.416	NA	0.416
CCL11	ENSG00000172156	Chemokine (C-C motif) ligand 11	2	4	0	0	0	0	0.244	NA	0.244	NA	NA	NA	NA	0.244	1	2.01 (0.182<96>14)	2.01 (0.182<96>14)		0	17	0.0244	0.623	2/2	0/0	0/0	0.623	NA	0.623
CCL13	ENSG00000181374	Chemokine (C-C motif) ligand 13	3	2	0	0	0	0	0.0674	NA	0.0674	NA	NA	NA	NA	0.0674	1	6.02 (0.69<96>72.2)	6.02 (0.69<96>72.2)		5	26	0.888	0.07	3/0	0/0	0/0	0.07	NA	0.07
CCL14	ENSG00000213494	Chemokine (C-C motif) ligand 14	4	17	0	0	0	0	0.841	NA	0.841	NA	NA	NA	NA	0.841	1	0.944 (0.231<96>2.9)	0.944 (0.231<96>2.9)		1	21	0.107	0.495	4/7	0/0	0/0	0.495	NA	0.495
CCL15	ENSG00000267596	Chemokine (C-C motif) ligand 15	1	6	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.669 (0.0145<96>5.51)	0.669 (0.0145<96>5.51)		8	21	0.597	0.763	1/2	0/0	0/0	0.763	NA	0.763
CCL16	ENSG00000161573	Chemokine (C-C motif) ligand 16	0	3	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>9.71)	0 (0<96>9.71)		2	14	0.75	0.699	0/3	0/0	0/0	0.699	NA	0.699
CCL17	ENSG00000102970	Chemokine (C-C motif) ligand 17	3	11	0	0	0	0	0.706	NA	0.706	NA	NA	NA	NA	0.706	1	1.09 (0.196<96>4.14)	1.09 (0.196<96>4.14)		5	11	0.415	0.679	3/4	0/0	0/0	0.679	NA	0.679
CCL18	ENSG00000006074	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	2	4	0	0	0	0	0.4	NA	0.4	NA	NA	NA	NA	0.4	1	2.01 (0.182<96>14)	2.01 (0.182<96>14)		4	21	0.812	0.424	2/1	0/0	0/0	0.424	NA	0.424
CCL19	ENSG00000172724	Chemokine (C-C motif) ligand 19	0	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>156)	0 (0<96>156)		1	10	0.723	NA				NA	NA	NA
CCL2	ENSG00000108691	Chemokine (C-C motif) ligand 2	0	2	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>21.4)	0 (0<96>21.4)		2	17	0.431	1	0/1	0/0	0/0	1	NA	1
CCL20	ENSG00000115009	Chemokine (C-C motif) ligand 20	0	5	0	0	0	0	0.558	NA	0.558	NA	NA	NA	NA	0.558	1	0 (0<96>4.38)	0 (0<96>4.38)		2	16	0.568	0.451	0/4	0/0	0/0	0.451	NA	0.451
CCL21	ENSG00000137077	Chemokine (C-C motif) ligand 21	1	6	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.669 (0.0145<96>5.51)	0.669 (0.0145<96>5.51)		5	25	0.818	1	1/4	0/0	0/0	1	NA	1
CCL22	ENSG00000102962	Chemokine (C-C motif) ligand 22	1	8	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.502 (0.0113<96>3.74)	0.502 (0.0113<96>3.74)		7	27	0.865	0.657	1/5	0/0	0/0	0.657	NA	0.657
CCL23	ENSG00000167236	Chemokine (C-C motif) ligand 23	4	9	0	0	0	0	0.398	NA	0.398	NA	NA	NA	NA	0.398	1	1.78 (0.401<96>6.39)	1.78 (0.401<96>6.39)		8	24	0.493	0.409	4/4	0/0	0/0	0.409	NA	0.409
CCL24	ENSG00000106178	Chemokine (C-C motif) ligand 24	1	8	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.502 (0.0113<96>3.74)	0.502 (0.0113<96>3.74)		3	19	0.657	1	1/2	0/0	0/0	1	NA	1
CCL25	ENSG00000131142	Chemokine (C-C motif) ligand 25	1	3	0	0	0	0	0.465	NA	0.465	NA	NA	NA	NA	0.465	1	1.34 (0.0255<96>16.7)	1.34 (0.0255<96>16.7)		4	15	0.749	0.417	1/1	0/0	0/0	0.417	NA	0.417
CCL26	ENSG00000006606	Chemokine (C-C motif) ligand 26	0	4	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>6.08)	0 (0<96>6.08)		6	12	0.185	1	0/1	0/0	0/0	1	NA	1
CCL27	ENSG00000213927	Chemokine (C-C motif) ligand 27	3	11	0	0	0	0	0.791	NA	0.791	NA	NA	NA	NA	0.791	1	1.09 (0.196<96>4.14)	1.09 (0.196<96>4.14)		6	21	0.823	0.895	3/5	0/0	0/0	0.895	NA	0.895
CCL28	ENSG00000151882	Chemokine (C-C motif) ligand 28	1	7	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.573 (0.0127<96>4.46)	0.573 (0.0127<96>4.46)		4	17	1	1	1/4	0/0	0/0	1	NA	1
CCL3	ENSG00000006075	Chemokine (C-C motif) ligand 3	1	6	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.669 (0.0145<96>5.51)	0.669 (0.0145<96>5.51)		4	15	0.746	1	1/3	0/0	0/0	1	NA	1
CCL4	ENSG00000129277	Chemokine (C-C motif) ligand 4	0	5	0	0	0	0	0.591	NA	0.591	NA	NA	NA	NA	0.591	1	0 (0<96>4.38)	0 (0<96>4.38)		6	7	0.0574	0.315	0/4	0/0	0/0	0.315	NA	0.315
CCL4L2	ENSG00000197262	Chemokine (C-C motif) ligand 4-like 2	0	1	0	4	0	5	0.713	0.611	0.631	NA	NA	NA	NA	0.631	1	0 (0<96>156)	0 (0<96>4.38)	0 (0<96>4.38)	NA	NA	NA	1	0/1	0/0	0/0	1	NA	1
CCL5	ENSG00000161570	Chemokine (C-C motif) ligand 5	3	4	0	0	0	0	0.462	NA	0.462	NA	NA	NA	NA	0.462	1	3.01 (0.441<96>17.8)	3.01 (0.441<96>17.8)		7	25	0.834	0.655	3/3	0/0	0/0	0.655	NA	0.655
CCL7	ENSG00000108688	Chemokine (C-C motif) ligand 7	1	4	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	1 (0.0204<96>10.1)	1 (0.0204<96>10.1)		5	20	1	0.588	1/1	0/0	0/0	0.588	NA	0.588
CCL8	ENSG00000108700	Chemokine (C-C motif) ligand 8	0	2	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>21.4)	0 (0<96>21.4)		7	25	0.808	NA				NA	NA	NA
CCM2	ENSG00000136280	Cerebral cavernous malformation 2	3	6	0	0	0	0	0.279	NA	0.279	NA	NA	NA	NA	0.279	1	2.01 (0.325<96>9.4)	2.01 (0.325<96>9.4)		31	121	0.929	0.457	3/3	0/0	0/0	0.457	NA	0.457
CCM2L	ENSG00000101331	Cerebral cavernous malformation 2-like	5	21	0	0	4	5	1	0.0556	0.64	NA	NA	NA	NA	0.64	1	0.956 (0.282<96>2.6)	0.956 (0.282<96>2.6)	3.21 (0.637<96>14.9)	11	54	0.662	0.573	5/10	0/0	4/1	1	0.021	0.573
CCNA1	ENSG00000133101	Cyclin A1	6	15	0	0	0	0	0.569	NA	0.569	NA	NA	NA	NA	0.569	1	1.61 (0.51<96>4.38)	1.61 (0.51<96>4.38)		28	88	0.332	0.633	6/11	0/0	0/0	0.633	NA	0.633
CCNA2	ENSG00000145386	Cyclin A2	2	5	0	0	1	3	0.221	0.663	0.196	NA	NA	NA	NA	0.196	1	1.61 (0.153<96>9.81)	1.61 (0.153<96>9.81)	1.34 (0.0255<96>16.7)	21	62	0.188	0.126	2/1	0/0	1/3	0.126	1	0.126
CCNB1	ENSG00000134057	Cyclin B1	5	10	0	0	0	0	0.298	NA	0.298	NA	NA	NA	NA	0.298	1	2.01 (0.538<96>6.45)	2.01 (0.538<96>6.45)		16	80	0.52	0.211	5/4	0/0	0/0	0.211	NA	0.211
CCNB1IP1	ENSG00000100814	Cyclin B1 interacting protein 1, E3 ubiquitin protein ligase	4	19	0	0	0	0	0.803	NA	0.803	NA	NA	NA	NA	0.803	1	0.845 (0.209<96>2.54)	0.845 (0.209<96>2.54)		5	53	0.122	0.677	4/5	0/0	0/0	0.677	NA	0.677
CCNB2	ENSG00000157456	Cyclin B2	4	24	0	0	0	0	0.745	NA	0.745	NA	NA	NA	NA	0.745	1	0.669 (0.169<96>1.95)	0.669 (0.169<96>1.95)		13	59	0.766	0.762	4/7	0/0	0/0	0.762	NA	0.762
CCNB3	ENSG00000147082	Cyclin B3	1	5	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.803 (0.017<96>7.17)	0.803 (0.017<96>7.17)		40	143	0.495	1	1/2	0/0	0/0	1	NA	1
CCNC	ENSG00000112237	Cyclin C	NA	NA	NA	NA	4	22	NA	0.797	NA	NA	NA	NA	NA	NA	NA	0 (0<96>Inf)		0.73 (0.183<96>2.15)	9	33	0.845	NA	0/0	0/0	4/8	NA	1	NA
CCND1	ENSG00000110092	Cyclin D1	0	2	0	0	0	1	1	1	1	NA	NA	NA	NA	1	1	0 (0<96>21.4)	0 (0<96>21.4)	0 (0<96>156)	19	56	0.249	1	0/1	0/0	0/1	1	1	1
CCND2	ENSG00000118971	Cyclin D2	2	0	0	0	6	21	0.048	0.831	0.048	NA	NA	NA	NA	0.048	0.975	Inf (0.754<96>Inf)	Inf (0.754<96>Inf)	1.15 (0.379<96>2.94)	15	57	0.877	0.199	2/0	0/0	6/11	0.203	0.839	0.199
CCND3	ENSG00000112576	Cyclin D3	0	8	0	0	0	1	0.351	1	0.351	NA	NA	NA	NA	0.351	1	0 (0<96>2.35)	0 (0<96>2.35)	0 (0<96>156)	12	49	1	0.246	0/4	0/0	0/1	0.246	1	0.246
CCNDBP1	ENSG00000166946	Cyclin D-type binding-protein 1	5	14	0	0	0	0	0.7	NA	0.7	NA	NA	NA	NA	0.7	1	1.43 (0.404<96>4.21)	1.43 (0.404<96>4.21)		4	54	0.024	0.795	5/8	0/0	0/0	0.795	NA	0.795
CCNE1	ENSG00000105173	Cyclin E1	5	5	0	0	0	0	0.241	NA	0.241	NA	NA	NA	NA	0.241	1	4.01 (0.924<96>17.5)	4.01 (0.924<96>17.5)		15	72	0.61	0.256	5/2	0/0	0/0	0.256	NA	0.256
CCNE2	ENSG00000175305	Cyclin E2	4	11	0	0	0	0	0.236	NA	0.236	NA	NA	NA	NA	0.236	1	1.46 (0.339<96>4.93)	1.46 (0.339<96>4.93)		13	49	0.882	0.207	4/5	0/0	0/0	0.207	NA	0.207
CCNF	ENSG00000162063	Cyclin F	2	12	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.669 (0.0727<96>3)	0.669 (0.0727<96>3)		52	168	0.392	1	2/5	0/0	0/0	1	NA	1
CCNG1	ENSG00000113328	Cyclin G1	7	15	0	0	0	0	0.22	NA	0.22	NA	NA	NA	NA	0.22	1	1.87 (0.646<96>4.88)	1.87 (0.646<96>4.88)		8	40	0.698	0.104	7/4	0/0	0/0	0.104	NA	0.104
CCNG2	ENSG00000138764	Cyclin G2	4	9	0	0	0	0	0.219	NA	0.219	NA	NA	NA	NA	0.219	1	1.78 (0.401<96>6.39)	1.78 (0.401<96>6.39)		19	64	0.664	0.217	4/4	0/0	0/0	0.217	NA	0.217
CCNH	ENSG00000134480	Cyclin H	9	20	0	0	0	0	0.198	NA	0.198	NA	NA	NA	NA	0.198	1	1.81 (0.724<96>4.15)	1.81 (0.724<96>4.15)		9	62	0.18	0.266	9/10	0/0	0/0	0.266	NA	0.266
CCNI	ENSG00000118816	Cyclin I	1	8	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.502 (0.0113<96>3.74)	0.502 (0.0113<96>3.74)		19	52	0.265	0.379	1/2	0/0	0/0	0.379	NA	0.379
CCNI2	ENSG00000205089	Cyclin I family, member 2	5	11	0	0	0	1	0.375	1	0.375	NA	NA	NA	NA	0.375	1	1.82 (0.497<96>5.7)	1.82 (0.497<96>5.7)	0 (0<96>156)	18	32	0.0153	0.166	5/4	0/0	0/0	0.166	NA	0.166
CCNJ	ENSG00000107443	Cyclin J	2	8	0	0	9	23	1	0.233	0.771	NA	NA	NA	NA	0.771	1	1 (0.104<96>5.03)	1 (0.104<96>5.03)	1.57 (0.64<96>3.52)	13	57	0.879	0.89	2/7	0/0	9/10	0.938	0.381	0.89
CCNJL	ENSG00000135083	Cyclin J-like	6	17	0	0	0	0	0.405	NA	0.405	NA	NA	NA	NA	0.405	1	1.42 (0.457<96>3.77)	1.42 (0.457<96>3.77)		33	92	0.15	0.609	6/9	0/0	0/0	0.609	NA	0.609
CCNK	ENSG00000090061	Cyclin K	0	3	1	4	2	12	1	1	1	NA	NA	NA	NA	1	1	0 (0<96>9.71)	0.573 (0.0127<96>4.46)	0.669 (0.0727<96>3)	14	65	0.803	0.589	0/0	1/1	2/7	0.589	0.772	0.589
CCNL1	ENSG00000163660	Cyclin L1	0	3	0	0	4	17	1	1	1	NA	NA	NA	NA	1	1	0 (0<96>9.71)	0 (0<96>9.71)	0.944 (0.231<96>2.9)	22	64	0.329	1	0/2	0/0	4/9	1	1	1
CCNL2	ENSG00000221978	Cyclin L2	1	15	0	0	0	0	0.29	NA	0.29	NA	NA	NA	NA	0.29	1	0.268 (0.00636<96>1.74)	0.268 (0.00636<96>1.74)		23	106	0.641	0.0941	1/10	0/0	0/0	0.0941	NA	0.0941
CCNO	ENSG00000152669	Cyclin O	3	7	0	0	0	0	0.586	NA	0.586	NA	NA	NA	NA	0.586	1	1.72 (0.287<96>7.54)	1.72 (0.287<96>7.54)		9	39	1	0.547	3/3	0/0	0/0	0.547	NA	0.547
CCNT1	ENSG00000129315	Cyclin T1	3	16	0	0	3	14	1	1	1	NA	NA	NA	NA	1	1	0.753 (0.141<96>2.63)	0.753 (0.141<96>2.63)	0.86 (0.158<96>3.08)	33	118	0.734	0.563	3/10	0/0	3/6	0.563	1	0.563
CCNT2	ENSG00000082258	Cyclin T2	3	15	1	1	3	21	0.883	0.444	0.883	NA	NA	NA	NA	0.883	1	0.803 (0.149<96>2.84)	1 (0.244<96>3.11)	0.573 (0.109<96>1.92)	28	120	0.827	0.866	3/9	1/0	3/10	0.978	0.558	0.866
CCNY	ENSG00000108100	Cyclin Y	2	7	0	0	2	1	0.716	0.0759	0.432	NA	NA	NA	NA	0.432	1	1.15 (0.116<96>6.02)	1.15 (0.116<96>6.02)	8.03 (0.418<96>472)	11	52	0.775	0.496	2/3	0/0	2/1	0.685	0.239	0.496
CCNYL1	ENSG00000163249	Cyclin Y-like 1	0	3	0	0	0	1	1	1	1	NA	NA	NA	NA	1	1	0 (0<96>9.71)	0 (0<96>9.71)	0 (0<96>156)	8	36	1	1	0/1	0/0	0/1	1	1	1
CCP110	ENSG00000103540	Centriolar coiled coil protein 110kDa	10	28	0	0	0	0	0.382	NA	0.382	NA	NA	NA	NA	0.382	1	1.43 (0.621<96>3.04)	1.43 (0.621<96>3.04)		37	100	0.136	0.593	10/15	0/0	0/0	0.593	NA	0.593
CCPG1	ENSG00000260916	Cell cycle progression 1	11	26	0	0	0	0	0.122	NA	0.122	NA	NA	NA	NA	0.122	1	1.7 (0.757<96>3.56)	1.7 (0.757<96>3.56)		29	117	1	0.152	11/13	0/0	0/0	0.152	NA	0.152
CCR1	ENSG00000163823	Chemokine (C-C motif) receptor 1	3	6	0	0	0	0	0.236	NA	0.236	NA	NA	NA	NA	0.236	1	2.01 (0.325<96>9.4)	2.01 (0.325<96>9.4)		18	84	0.603	0.349	3/2	0/0	0/0	0.349	NA	0.349
CCR10	ENSG00000184451	Chemokine (C-C motif) receptor 10	1	1	0	0	0	13	0.614	0.3	0.614	NA	NA	NA	NA	0.614	1	4.01 (0.0511<96>314)	4.01 (0.0511<96>314)	0 (0<96>1.32)	5	14	0.712	0.656	1/0	0/0	0/7	0.656	0.057	0.656
CCR2	ENSG00000121807	Chemokine (C-C motif) receptor 2	2	10	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.803 (0.0855<96>3.77)	0.803 (0.0855<96>3.77)		13	69	0.389	1	2/5	0/0	0/0	1	NA	1
CCR3	ENSG00000183625	Chemokine (C-C motif) receptor 3	7	27	0	0	0	0	0.984	NA	0.984	NA	NA	NA	NA	0.984	1	1.04 (0.383<96>2.45)	1.04 (0.383<96>2.45)		15	74	0.575	0.896	7/12	0/0	0/0	0.896	NA	0.896
CCR4	ENSG00000183813	Chemokine (C-C motif) receptor 4	5	11	0	0	0	0	0.562	NA	0.562	NA	NA	NA	NA	0.562	1	1.82 (0.497<96>5.7)	1.82 (0.497<96>5.7)		24	84	0.543	0.542	5/6	0/0	0/0	0.542	NA	0.542
CCR6	ENSG00000112486	Chemokine (C-C motif) receptor 6	3	4	0	0	0	5	0.165	0.597	0.165	NA	NA	NA	NA	0.165	1	3.01 (0.441<96>17.8)	3.01 (0.441<96>17.8)	0 (0<96>4.38)	29	87	0.247	0.322	3/2	0/0	0/1	0.322	1	0.322
CCR7	ENSG00000126353	Chemokine (C-C motif) receptor 7	0	3	0	0	1	12	1	0.479	0.863	NA	NA	NA	NA	0.863	1	0 (0<96>9.71)	0 (0<96>9.71)	0.334 (0.00783<96>2.26)	20	114	0.166	0.789	0/1	0/0	1/8	1	0.274	0.789
